date,btc_open,note
2012-08-28,11.0,btc_open forward-filled
2012-08-29,11.0,btc_open forward-filled
2012-08-30,11.0,btc_open forward-filled
2012-08-31,11.0,btc_open forward-filled
2012-09-01,7.0,btc_open forward-filled
2012-09-02,6.0,btc_open forward-filled
2012-09-03,5.0,btc_open forward-filled
2012-09-04,5.0,btc_open forward-filled
2012-09-05,6.0,btc_open forward-filled
2012-09-06,6.0,btc_open forward-filled
2012-09-07,8.0,btc_open forward-filled
2012-09-08,12.0,btc_open forward-filled
2012-09-09,12.0,btc_open forward-filled
2012-09-10,12.0,btc_open forward-filled
2012-09-11,11.0,btc_open forward-filled
2012-09-12,14.0,btc_open forward-filled
2012-09-13,12.0,btc_open forward-filled
2012-09-14,12.0,btc_open forward-filled
2012-09-15,12.0,btc_open forward-filled
2012-09-16,12.0,btc_open forward-filled
2012-09-17,12.0,btc_open forward-filled
2012-09-18,13.0,btc_open forward-filled
2012-09-19,13.0,btc_open forward-filled
2012-09-20,13.0,btc_open forward-filled
2012-09-21,13.0,btc_open forward-filled
2012-09-22,13.0,btc_open forward-filled
2012-09-23,13.0,btc_open forward-filled
2012-09-24,13.0,btc_open forward-filled
2012-09-25,13.0,btc_open forward-filled
2012-09-26,13.0,btc_open forward-filled
2012-09-27,13.0,btc_open forward-filled
2012-09-28,13.0,btc_open forward-filled
2012-09-29,13.0,btc_open forward-filled
2012-09-30,13.0,btc_open forward-filled
2012-10-01,7.0,btc_open forward-filled
2012-10-02,6.0,btc_open forward-filled
2012-10-03,5.0,btc_open forward-filled
2012-10-04,5.0,btc_open forward-filled
2012-10-05,5.0,btc_open forward-filled
2012-10-06,6.0,btc_open forward-filled
2012-10-07,8.0,btc_open forward-filled
2012-10-08,12.0,btc_open forward-filled
2012-10-09,12.0,btc_open forward-filled
2012-10-10,13.0,btc_open forward-filled
2012-10-11,11.0,btc_open forward-filled
2012-10-12,14.0,btc_open forward-filled
2012-10-13,12.0,btc_open forward-filled
2012-10-14,12.0,btc_open forward-filled
2012-10-15,12.0,btc_open forward-filled
2012-10-16,12.0,btc_open forward-filled
2012-10-17,12.0,btc_open forward-filled
2012-10-18,12.0,btc_open forward-filled
2012-10-19,12.0,btc_open forward-filled
2012-10-20,12.0,btc_open forward-filled
2012-10-21,12.0,btc_open forward-filled
2012-10-22,12.0,btc_open forward-filled
2012-10-23,12.0,btc_open forward-filled
2012-10-24,12.0,btc_open forward-filled
2012-10-25,11.0,btc_open forward-filled
2012-10-26,11.0,btc_open forward-filled
2012-10-27,11.0,btc_open forward-filled
2012-10-28,11.0,btc_open forward-filled
2012-10-29,11.0,btc_open forward-filled
2012-10-30,11.0,btc_open forward-filled
2012-10-31,12.0,btc_open forward-filled
2012-11-01,7.0,btc_open forward-filled
2012-11-02,6.0,btc_open forward-filled
2012-11-03,5.0,btc_open forward-filled
2012-11-04,5.0,btc_open forward-filled
2012-11-05,5.0,btc_open forward-filled
2012-11-06,6.0,btc_open forward-filled
2012-11-07,8.0,btc_open forward-filled
2012-11-08,12.0,btc_open forward-filled
2012-11-09,12.0,btc_open forward-filled
2012-11-10,13.0,btc_open forward-filled
2012-11-11,11.0,btc_open forward-filled
2012-11-12,14.0,btc_open forward-filled
2012-11-13,11.0,btc_open forward-filled
2012-11-14,11.0,btc_open forward-filled
2012-11-15,12.0,btc_open forward-filled
2012-11-16,12.0,btc_open forward-filled
2012-11-17,12.0,btc_open forward-filled
2012-11-18,12.0,btc_open forward-filled
2012-11-19,12.0,btc_open forward-filled
2012-11-20,12.0,btc_open forward-filled
2012-11-21,12.0,btc_open forward-filled
2012-11-22,13.0,btc_open forward-filled
2012-11-23,13.0,btc_open forward-filled
2012-11-24,13.0,btc_open forward-filled
2012-11-25,13.0,btc_open forward-filled
2012-11-26,13.0,btc_open forward-filled
2012-11-27,13.0,btc_open forward-filled
2012-11-28,13.0,btc_open forward-filled
2012-11-29,13.0,btc_open forward-filled
2012-11-30,13.0,btc_open forward-filled
2012-12-01,7.0,btc_open forward-filled
2012-12-02,6.0,btc_open forward-filled
2012-12-03,5.0,btc_open forward-filled
2012-12-04,5.0,btc_open forward-filled
2012-12-05,5.0,btc_open forward-filled
2012-12-06,6.0,btc_open forward-filled
2012-12-07,8.0,btc_open forward-filled
2012-12-08,12.0,btc_open forward-filled
2012-12-09,12.0,btc_open forward-filled
2012-12-10,13.0,btc_open forward-filled
2012-12-11,12.0,btc_open forward-filled
2012-12-12,14.0,btc_open forward-filled
2012-12-13,14.0,btc_open forward-filled
2012-12-14,14.0,btc_open forward-filled
2012-12-15,14.0,btc_open forward-filled
2012-12-16,14.0,btc_open forward-filled
2012-12-17,14.0,btc_open forward-filled
2012-12-18,14.0,btc_open forward-filled
2012-12-19,14.0,btc_open forward-filled
2012-12-20,14.0,btc_open forward-filled
2012-12-21,14.0,btc_open forward-filled
2012-12-22,14.0,btc_open forward-filled
2012-12-23,14.0,btc_open forward-filled
2012-12-24,14.0,btc_open forward-filled
2012-12-25,14.0,btc_open forward-filled
2012-12-26,14.0,btc_open forward-filled
2012-12-27,14.0,btc_open forward-filled
2012-12-28,14.0,btc_open forward-filled
2012-12-29,14.0,btc_open forward-filled
2012-12-30,14.0,btc_open forward-filled
2012-12-31,14.0,btc_open forward-filled
2013-01-01,14.0,btc_open forward-filled
2013-01-02,21.0,btc_open forward-filled
2013-01-03,35.0,btc_open forward-filled
